Class_id;Class_name;Vsl;Vsg;ID;Roughness;Ang;Density_L;Density_G;Visc_L;Visc_G;ST;P;T
2;SS;0.0594384;2.9357;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.0571529;4.80914;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.120173;0.0843384;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.120129;0.137173;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.116614;0.239145;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.117703;0.446897;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.119958;0.8884;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.12345;1.73923;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.118685;2.93983;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.118638;4.893;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.207457;0.0848735;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.211453;0.133878;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.207266;0.231702;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.207141;0.443331;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.21108;0.875017;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.2089;1.75396;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.208801;2.94314;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.3652;0.0860505;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.361456;0.140076;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
2;SS;0.361247;0.236971;0.0258;0;-5;860;4.134E+00;0.007;1.000E-05;0.032;350.0;22.0
